,position name,company name,salary
0,Python Developer Intern,TekPillar Services,"10,000 - 30,000 a month"
1,Python/Django Developer,SecureMetaSys Infotech Pvt. Ltd.,"15,000 - 50,000 a month"
2,Python Developer,Creative Solution,"8,000 - 35,000 a month"
3,Python Developer,TekPillar Services,"10,000 - 45,000 a month"
4,Frontend and Backend Developer,WRT Infotech,"10,252 - 30,744 a month"
5,Python Developer,Tekpillar,"10,000 - 30,000 a month"
6,Senior Python Developer,TekPillar Services,"10,000 - 45,000 a month"
7,Web Developer,ARHAMSHARE CONSULTANTS PVT LTD,"10,000 - 50,000 a month"
8,Engineer - Python (Crawling & Bots),Numerator,not given
9,Python Developer,TIGI HR SOLUTION,"60,000 a month"
10,Python Developer,Naman Staffing,not given
11,Full Stack Developer,ANS IT INDIA PVT LTD,"15,000 - 20,000 a month"
12,"Senior Software Developer, Trilogy (Remote) - $100,000/year...",Crossover,not given
13,Full Stack Developer,Netizens Technologies,"20,000 - 45,000 a month"
14,Backend Developer,Themes Brand,not given
